# File: OTAQ_land_protection_L3_IUCN1_2.csv
# Title: land protection fractions by GCAM water basin
# Units: Percent
# Source: OTAQ (Diana Galperin)
# Column types: iccccicnnn
# ----------
GCAM_basin_ID,Basin_name,GLU_code,GLU_name,ISO,ISO_NUM,Country_name,Basin area (Sq. Meters),Suitable Area (Sq. Meters),Percent Suitable
1,Arctic_Ocean_Islands,GLU001,ArcticIsl,GRL,304,Greenland,"2,305,250,412,151.50","7,252,754,802.70",0.31%
2,Northwest_Territories,GLU002,NWTerr,CAN,124,Canada,"2,999,396,947,637.63","75,057,485,210.90",2.50%
3,Siberia_North_Coast,GLU003,SiberiaN,RUS,643,Russian Federation,"1,172,284,655,468.31","1,232,169,826.77",0.11%
4,Siberia_West_Coast,GLU004,SiberiaW,RUS,643,Russian Federation,"3,019,215,061,836.00","137,825,048,089.00",4.56%
5,Kara_Sea_Coast,GLU005,KaraSea,RUS,643,Russian Federation,"670,657,508,748.39","167,266,883.51",0.02%
6,Lena,GLU006,LenaR,RUS,643,Russian Federation,"2,345,485,289,057.92","10,747,630,294.20",0.46%
7,Pacific_and_Arctic_Coast,GLU007,PacArctic,USA,840,United States,"2,188,189,227,356.05","226,423,377,352.00",10.35%
8,Scandinavia_North_Coast,GLU008,ScndnvN,NOR,578,Norway,"573,045,829,117.94","166,496,419,380.00",29.05%
9,Russia_Barents_Sea_Coast,GLU009,BarentsSea,RUS,643,Russian Federation,"668,518,260,879.16","191,751,332,186.00",28.68%
10,Mackenzie,GLU010,Mackenzie,CAN,124,Canada,"1,770,915,636,241.90","295,775,923,084.00",16.70%
11,Iceland,GLU011,Iceland,ISL,352,Iceland,"102,323,333,180.65","39,541,536,681.10",38.64%
12,Sweden,GLU012,Sweden,SWE,752,Sweden,"489,473,476,871.02","340,533,486,258.00",69.57%
13,Finland,GLU013,Finland,FIN,246,Finland,"292,678,095,878.60","198,998,972,836.00",67.99%
14,Northern_Dvina,GLU014,DvinaRN,RUS,643,Russian Federation,"276,012,789,931.00","220,074,941,102.00",79.73%
15,Hudson_Bay_Coast,GLU015,HudsonBay,CAN,124,Canada,"1,631,748,011,472.34","254,712,687,352.00",15.61%
16,Scotland,GLU016,Scotland,GBR,826,United Kingdom,"80,739,277,354.58","70,091,643,061.80",86.81%
17,Neva,GLU017,NevaR,RUS,643,Russian Federation,"193,411,009,355.14","132,973,012,882.00",68.75%
18,Volga,GLU018,VolgaR,RUS,643,Russian Federation,"1,525,969,931,542.46","1,340,403,569,800.00",87.84%
19,Atlantic_Ocean_Seaboard,GLU019,CanAtl,CAN,124,Canada,"528,166,180,114.60","261,523,988,504.00",49.52%
20,Baltic_Sea_Coast,GLU020,BalticSea,LVA,428,Latvia,"100,455,698,205.25","91,608,110,336.20",91.19%
21,Denmark_Germany_Coast,GLU021,DnkGrmCst,DNK,208,Denmark,"73,723,238,940.47","67,575,139,052.00",91.66%
22,Narva,GLU022,NarvaR,RUS,643,Russian Federation,"55,491,286,793.29","47,288,659,565.90",85.22%
23,Saskatchewan_Nelson,GLU023,NelsonR,CAN,124,Canada,"1,135,270,621,120.75","877,236,387,017.00",77.27%
24,Ireland,GLU024,Ireland,IRL,372,Ireland,"84,248,902,981.88","78,187,482,963.50",92.81%
25,Daugava,GLU025,DaugavaR,BLR,112,Belarus,"84,106,106,488.46","74,253,404,048.90",88.29%
26,England_and_Wales,GLU026,EngWales,GBR,826,United Kingdom,"151,828,333,691.29","136,715,617,924.00",90.05%
27,Fraser,GLU027,FraserR,CAN,124,Canada,"230,181,746,716.09","140,437,902,733.00",61.01%
28,Ems_Weser,GLU028,EmsWeserR,DEU,276,Germany,"63,371,437,331.55","57,903,594,648.00",91.37%
29,Oder,GLU029,OderR,POL,616,Poland,"118,326,158,382.44","111,524,734,308.00",94.25%
30,Wisla,GLU030,WislaR,POL,616,Poland,"193,352,761,875.10","182,359,566,022.00",94.31%
31,Elbe,GLU031,ElbeR,DEU,276,Germany,"143,257,468,598.20","129,694,363,761.00",90.53%
32,Rhine,GLU032,RhineR,DEU,276,Germany,"221,980,143,664.72","181,909,656,973.00",81.95%
33,Poland_Coast,GLU033,PolandCst,POL,616,Poland,"38,603,718,298.98","36,616,786,918.50",94.85%
