# File: A271.freight_coef.csv
# Title: Coefficients of freight inputs to energy and ag commodities
# Units: million tkm per EJ = ton-meters per GJ
# Comments: price-unit-conversion takes into account the following:
#  (1) transportation output unit is 1e6 times the price unit denominator whereas all other sectors are 1e9.
#  (2) transportation price unit is 1990$ whereas others are 1975$.
#  (3) trn_freight costs are 17x higher than rail mode (the dominant mode for some of these fuels). Some de-rating is appropriate.
# Note: the methods are not set up to handle different tkm inputs for different refined liquid fuel commodities (e.g., ref liq industrial, ref liq enduse need to have the same coef in each region)
# Column types: cccccnnnnnn
# ----------
region,supplysector,subsector,technology,minicam.energy.input,price.unit.conversion,1971,1990,2000,2010,2100
USA,FeedCrops,Corn,Corn,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,FiberCrop,FiberCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,MiscCrop,MiscCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,OilCrop,OilCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,OtherGrain,OtherGrain,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,PalmFruit,PalmFruit,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Rice,Rice,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Root_Tuber,Root_Tuber,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,SugarCrop,SugarCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FeedCrops,Wheat,Wheat,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,Corn,Corn,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,FiberCrop,FiberCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,MiscCrop,MiscCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,OilCrop,OilCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,OtherGrain,OtherGrain,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,PalmFruit,PalmFruit,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,Rice,Rice,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,Root_Tuber,Root_Tuber,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,SugarCrop,SugarCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,FoodDemand_Crops,Wheat,Wheat,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Corn,Corn,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,FiberCrop,FiberCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,MiscCrop,MiscCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,OilCrop,OilCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,OtherGrain,OtherGrain,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,PalmFruit,PalmFruit,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Rice,Rice,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,SugarCrop,SugarCrop,trn_freight,3.62E-05,600,600,600,600,600
USA,NonFoodDemand_Crops,Wheat,Wheat,trn_freight,3.62E-05,600,600,600,600,600
USA,refined liquids enduse,refined liquids enduse,refined liquids enduse,trn_freight,0.00045208,2800,2800,2800,2800,2800
USA,refined liquids gasoline pool,ethanol,ethanol,trn_freight,0.00045208,2800,2800,2800,2800,2800
USA,refined liquids gasoline pool,refining,refining,trn_freight,0.00045208,2800,2800,2800,2800,2800
USA,refined liquids industrial,refined liquids industrial,refined liquids industrial,trn_freight,0.00045208,2800,2800,2800,2800,2800
USA,regional biomass,regional biomass,regional biomass,trn_freight,3.62E-05,33000,33000,33000,33000,33000
USA,regional biomassOil,regional biomassOil,OilCrop,trn_freight,0.00045208,11500,11500,11500,11500,11500
USA,regional coal,regional coal,regional coal,trn_freight,3.62E-05,38000,35000,38000,42000,42000
USA,regional corn,imported corn,imported corn,trn_shipping_intl,0.00045208,4000,4000,4000,4000,4000
USA,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol,trn_freight,0.00045208,9000,9000,9000,9000,9000
