# File: A54.OTAQ_trn_data.csv
# Title: OTAQ-specific assumptions to layer into UCD_trn_data_OTAQ.csv database
# Units: Various
# Column types: ccccccccnnnnnnnnnnn
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2050,2065,2080,2095
USA,Passenger,Bus,All,Liquids,Liquids,intensity,MJ/vkm,10.2371,10.19839826,10.19331501,9.101174119,8.638402553,8.638402553,8.638402553,8.638402553,8.638402553,8.638402553,8.638402553
USA,Freight,Truck,Truck (0-2.7t),Liquids,Liquids,intensity,MJ/vkm,4.7396,4.008980141,3.69285618,3.284952881,2.878397453,2.604511415,2.446840135,2.37075288,2.37075288,2.37075288,2.37075288
USA,Freight,Truck,Truck (2.7-4.5t),Liquids,Liquids,intensity,MJ/vkm,5.3579,4.15445455,3.964789809,3.465176216,3.066416312,3.066416312,3.066416312,3.066416312,3.066416312,3.066416312,3.066416312
USA,Freight,Truck,Truck (4.5-12t),Liquids,Liquids,intensity,MJ/vkm,10.7916,7.264688335,6.896861622,6.359874999,5.831770618,5.831770618,5.831770618,5.831770618,5.831770618,5.831770618,5.831770618
USA,Freight,Truck,Truck (>12t),Liquids,Liquids,intensity,MJ/vkm,13.3172,12.40940704,11.30120954,9.678623252,8.831591424,8.831591424,8.831591424,8.831591424,8.831591424,8.831591424,8.831591424
USA,Freight,Truck,Truck (0-2.7t),NG,Natural Gas,intensity,MJ/vkm,5.68752,4.81077617,4.431427416,3.941943457,3.454076944,3.125413698,2.936208162,2.844903456,2.844903456,2.844903456,2.844903456
USA,Freight,Truck,Truck (2.7-4.5t),NG,Natural Gas,intensity,MJ/vkm,6.42948,4.98534546,4.75774777,4.158211459,3.679699575,3.679699575,3.679699575,3.679699575,3.679699575,3.679699575,3.679699574
USA,Freight,Truck,Truck (4.5-12t),NG,Natural Gas,intensity,MJ/vkm,12.94992,8.717626002,8.276233947,7.631849999,6.998124742,6.998124742,6.998124742,6.998124742,6.998124742,6.998124742,6.998124742
USA,Freight,Truck,Truck (>12t),NG,Natural Gas,intensity,MJ/vkm,15.98064,14.89128845,13.56145145,11.6143479,10.59790971,10.59790971,10.59790971,10.59790971,10.59790971,10.59790971,10.59790971
USA,Freight,Truck,Truck (0-2.7t),BEV,Electricity,intensity,MJ/vkm,1.579866667,1.336326714,1.23095206,1.094984294,0.959465818,0.868170472,0.815613378,0.79025096,0.79025096,0.79025096,0.79025096
