# File: IEA_sector_fuel_modifications.csv
# Title: Mapping sectors and fuels
# Units: n/a
# Column types: ccccn 
# ----------
sector_initial,fuel_initial,sector,fuel,conversion
in_electricity generation,electricity,,,
in_electricity generation,heat,,,
in_heat,heat,,,
in_industry_agriculture,biomass,in_industry_general,biomass,0.00004186
in_industry_agriculture,coal,in_industry_general,coal,0.00004186
in_industry_agriculture,electricity,in_industry_general,electricity,0.00004186
in_industry_agriculture,gas,in_industry_general,gas,0.00004186
in_industry_agriculture,gasified biomass,in_industry_general,gasified biomass,0.00004186
in_industry_agriculture,heat,in_industry_general,heat,0.00004186
in_industry_coal,biomass,in_industry_general,biomass,-0.00004186
in_industry_coal,coal,in_industry_general,coal,-0.00004186
in_industry_coal,gas,in_industry_general,gas,-0.00004186
in_industry_coal,gasified biomass,in_industry_general,gasified biomass,-0.00004186
in_industry_coal,heat,in_industry_general,heat,-0.00004186
in_industry_oilgas,biomass,in_industry_general,biomass,-0.00004186
in_industry_oilgas,coal,in_industry_general,coal,-0.00004186
in_industry_oilgas,electricity,in_industry_general,electricity,-0.00004186
in_industry_oilgas,gasified biomass,in_industry_general,gasified biomass,-0.00004186
in_industry_oilgas,heat,in_industry_general,heat,-0.00004186
in_industry_chp,electricity,,,
in_industry_chp,heat,,,
in_industry_ctl,refined liquids,out_ctl,coal,0.00004186
in_industry_energy distribution,gas,net_gas pipeline,gas,-0.00004186
in_industry_energy distribution,electricity,net_electricity distribution,electricity,-0.00004186
in_industry_feedstocks,biomass,,,
in_industry_gtl,refined liquids,out_gtl,gas,0.00004186
in_industry_ownuse,electricity,net_electricity ownuse,electricity,-0.00004186
in_industry_pipeline,gas,net_gas pipeline,gas,0.00004186
in_trn_road,biomass,in_trn_road,refined biofuels_ethanol,0.00004186
net_industry_oil refining,refined liquids,net_oil refining,refined liquids,-0.00004186
net_industry_oil refining,electricity,net_oil refining,electricity,-0.00004186
net_industry_oil refining,gas,net_oil refining,gas,-0.00004186
